游戏名称,价格,好评率,好评人数,平均游玩时长,标签,所属主类
0Gravity,免费开玩,64%,25,35.9h,"独立, 抢先体验, 休闲, 动作, 血腥, 暴力, 免费开玩, 大型多人在线, 平台游戏, 4 人本地, 本地多人, 控制器, 多人, 2D, 像素图形, 复古, 困难, 太空, 街机, 格斗",动作类; 休闲类
Vengeful Heart,¥ 37.00,95%,22,4.5h,"赛博朋克, 视觉小说, 像素图形, 反乌托邦, 女性主角, LGBTQ+, 选择取向, 少女游戏, 科幻, 政治性, 动漫, 资本主义, 剧情丰富, 恋爱模拟, 复古, 2D, 讽刺, 90 年代, 休闲, 自选历险体验",冒险类; 休闲类
World's Nicht,¥ 18.00,,,2.9h,"独立, 休闲",休闲类
Fighting Frenzy: Swole Simulator,¥ 11.00,无用户评测,,1.7h,"动作, 角色扮演, 抢先体验, 休闲, 模拟, 本地合作",动作类; 角色扮演类; 模拟类; 休闲类
Rock of Ages 3: Make & Break,¥ 48.00,77%,"1,208",6.1h,"策略, 动作, 喜剧, 独立, 竞速, 欢乐, 破坏, 多人, 冒险, 休闲, 解谜, 回合战略, 街机, 第三人称, 超现实, 卡通风格, 建造, 玩家对战, 关卡编辑, 塔防",动作类; 冒险类; 模拟类; 策略类; 竞速类; 解谜类; 休闲类
Wind Runners,¥ 0.00,,,,"飞行, 动作类 Rogue, 弹幕射击, 清版射击, 轻度 Rogue, 永久死亡, 困难, 射击, 街机, 2D, 类 Rogue, 动作冒险, 女性主角, 多结局, 动作, 像素图形, 角色动作, 彩色, 科幻, 单人",动作类; 射击类; 冒险类
Rune Knights,¥ 76.00,76%,235,10.2h,"砍杀, 迷宫探索, 动作角色扮演, 角色自定义, 角色扮演, 第三人称, 刷宝, 程序生成, 动作, 恶魔, 奇幻, 魔法, 制作, 战斗, 合作, 多人, 在线合作, 单人, 独立, 抢先体验",动作类; 角色扮演类
Dragon Call,免费开玩,70%,98,19.5h,"牌组构建式类 Rogue, 卡牌战斗, 策略, 独立, 休闲, 牌组构建, 大型多人在线, 轻度 Rogue, 卡牌游戏, 仅鼠标, 超级英雄, 回合制战斗, 回合战略, 裸露, 触控, 抢先体验, 多人在线战术竞技, 类 Rogue, 集换式卡牌游戏, 2D",策略类; 休闲类
未获取到,未获取到价格,,,7.1h,,
Miss Neko,¥ 6.00,88%,"4,025",9.1h,"色情内容, 动漫色情, 裸露, 休闲, 成人, 动漫, 动作, 工作场所不宜, 解谜, 单人, 可爱",动作类; 解谜类; 休闲类
A maze in Citadel,¥ 39.99,1 篇用户评测,1,,"动作, 独立, 冒险",动作类; 冒险类
Edge of Time: Rise of the Aeus,¥ 0.00,,,,"独立, 动作, 冒险, 抢先体验, 解谜, 探索, 动作冒险, 风格化, 角色扮演, 单人, 动作角色扮演, 剧情丰富",动作类; 冒险类; 角色扮演类; 解谜类
Deichgraf,¥ 28.00,72%,22,1.1h,"模拟, 策略, 资源管理, 中世纪, 历史, 拟真, 建造, 城市营造, 沉浸式模拟, 氛围, 经济, 殖民模拟, 阖家, 管理, 基地建设, 自然, 农业, 抢先体验, 独立, 单人",模拟类; 策略类
Turn Me On,免费开玩,81%,11,9.2h,"免费开玩, 竞速, 独立, 休闲, 抢先体验, 虚拟现实",竞速类; 休闲类
OutSpaceX_EP1,¥ 15.00,1 篇用户评测,1,,"战斗竞速, 竞速, 动作, 太空模拟, 单人, 独立, 多人, 角色扮演, 第一人称, 汽车模拟, 3D 平台, 体育, 抢先体验, 模拟, 玩家对战",动作类; 角色扮演类; 模拟类; 体育类; 竞速类
ARISEN - Chronicles of Var'Nagal,¥ 22.00,79%,64,3.8h,"抢先体验, 自选历险体验, 爱情, 互动小说, LGBTQ+, 选择取向, 剧情丰富, 故事架构丰富, 多结局, 卡牌游戏, 风格化, 奇幻, 彩色, 恋爱模拟, 视觉小说, 少女游戏, 休闲, 龙, 黑暗奇幻, 漫画",冒险类; 策略类; 休闲类
Cooking Trip: Back on the road,¥ 58.00,88%,34,23.1h,"休闲, 策略, 模拟, 独立, 烹饪, 街机, 解谜, 时间管理, 点击游戏, 2D, 卡通风格, 可爱, 单人",动作类; 模拟类; 策略类; 解谜类; 休闲类
Ancient Knowledge,¥ 37.00,6 篇用户评测,6,8.3h,"独立, 动作, 冒险, 3D 平台, 平台解谜, 悬疑, 步行模拟, 平台游戏, 放松, 解谜, 奇幻, 开放世界, 第三人称, 好评原声音轨, 探索, 氛围, 单人, 彩色, 可爱",动作类; 冒险类; 解谜类
Bakery Biz Tycoon,¥ 28.00,36%,22,1.4h,"管理, 策略, 经济, 独立, 建造, 休闲, 时间管理, 放松, 2D, 等角视角, 欢乐, 模拟, 彩色, 像素图形, 阖家, 老式, 贸易, 资源管理, 单人, 抢先体验",模拟类; 策略类; 休闲类
CRAZY DRIVER,¥ 6.00,80%,140,1.9h,"动作, 竞速, 独立, 休闲, 体育, 街机, 重玩价值, 俯视, 竞分, 单人, 欢乐, 困难, 风格化, 拟真, 极简主义, 欲罢不能, 卡通风格, 生存, 劫掠, 第三人称",动作类; 体育类; 竞速类; 休闲类
被遗忘的我们 / War Mongrels,¥ 250.00,72%,"1,761",14.2h,"策略, 即时战术, 潜行, 二战, 动作冒险, 即时战略, 等角视角, 拟真, 氛围, 战术, 军事, 历史, 合作, 在线合作, 单人, 合作战役, 俯视, 双摇杆射击, 战争, 战斗",动作类; 射击类; 冒险类; 策略类
10mg: Always Down,¥ 6.00,97%,37,0.3h,"冒险, 试验性, 探索, 互动小说, 平台游戏, 2D 平台, 平台解谜, 类银河战士恶魔城, 横向滚屏, 2D, 抽象, 极简主义, 独立, 像素图形, 风格化, 角色自定义, 单人",动作类; 冒险类
reD:起始的旋转之音(The beginning of the Melody),免费开玩,80%,20,4.5h,"独立, 角色扮演, 探索, 多结局, 休闲, 日系角色扮演, 解谜, 平台解谜, 2D, 可爱, 恐怖, 悬疑, 女性主角, 单人, RPG 制作大师, 冒险, 动漫, 爱情, 裸露, 色情内容",冒险类; 角色扮演类; 解谜类; 休闲类
Monsters of Little Haven,¥ 22.00,86%,330,2.9h,"恐怖, 视觉小说, 休闲, 互动小说, 基于文字, 心理恐怖, 选择取向, 非线性, 多结局, 记叙, 剧情丰富, 手绘, 氛围, 心理, 情感, 黑暗, 电影式, 独立, 冒险, 剧情",冒险类; 休闲类
Victorian Mysteries: Woman in White,¥ 23.10,50%,22,3.3h,"独立, 休闲, 冒险, 策略, 隐藏物体, 仅鼠标",冒险类; 策略类; 解谜类; 休闲类
白石洲往事,¥ 26.00,23%,47,1.4h,"独立, 角色扮演, 开放世界, 模拟, 休闲, 冒险, 抢先体验, 多人在线战术竞技, 射击, 日系角色扮演, 大逃杀, 轻度 Rogue, 动漫, 僵尸, 爱情, 单人, 裸露, 成人, 色情内容, 多人",动作类; 射击类; 冒险类; 角色扮演类; 模拟类; 休闲类
WREN,¥ 52.00,4 篇用户评测,4,2.8h,"挂机游戏, 体育, 自走棋, 自行车, 骑车, 玩家对战环境, 指向点击, 角色扮演, 2D, 可爱, 放松, 休闲, 彩色, 手绘, 像素图形, 奇幻, 冒险, 单人, 独立, 复古",冒险类; 角色扮演类; 体育类; 竞速类; 解谜类; 休闲类
KLAC,¥ 18.00,,,0.1h,"独立, 抢先体验, 休闲",休闲类
Pillowheads: It's Party Time,¥ 32.00,2 篇用户评测,2,10.0h,"独立, 动作, 4 人本地, 休闲, 控制器, 阖家, 彩色, 可爱, 喜剧, 欢乐, 竞技, 物理, 车辆作战, 本地多人, 3D, 多人, 合作, 本地合作, 竞技场射击, 街机",动作类; 休闲类
Obversion,¥ 37.00,86%,15,2.8h,"平台解谜, 第一人称, 困难, 极简主义, 哲理, 单人, 3D 平台, 解谜, 策略, 逻辑, 抽象, 彩色, 迷幻, 氛围, 独立",策略类; 解谜类
Gun Blaze,¥ 26.00,73%,15,2.2h,"动作, 抢先体验, 独立",动作类
Planaris 2+,¥ 26.00,100%,13,5.8h,"休闲, 解谜, 三消, 独立, 2D, 好评原声音轨, 单人, 指向点击, 经典, 放松, 非线性, 极简主义, 抽象, 唯美, 彩色, 风格化, 逻辑, 现代, 氛围, 阖家",解谜类; 休闲类
TINY METAL: FULL METAL RUMBLE,¥ 50.00,80%,172,8.2h,"策略, 回合制战术, 回合战略, 战术角色扮演, 单人, 独立, 回合制战斗, 阖家, 军事, 回合制, 模拟, 奇幻, 战争游戏, 解谜, 2D, 网格导向动作, 战争, 坦克, 多人, 机甲",模拟类; 策略类; 解谜类
Combat-Game-Name-TBD,¥ 0.00,,,,"独立, 动作, 格斗, 本地合作, 在线合作, 多人, 2D 格斗, 4 人本地, 2.5D, 本地多人",动作类
Florence,¥ 4.50,93%,"14,221",2.8h,"独立, 休闲, 冒险, 爱情, 剧情丰富, 可爱, 女性主角, 单人, 剧情, 互动小说, 音乐, 视觉小说, 短篇, 风格化, 叙事, 阖家, 指向点击, 2D, 彩色, 恋爱模拟",冒险类; 解谜类; 休闲类
Defending Territory,¥ 29.00,33%,12,1.6h,"休闲, 策略, 独立, 抢先体验, 模拟",模拟类; 策略类; 休闲类
Glizzy Gobbler,¥ 33.00,4 篇用户评测,4,,"休闲, 动作冒险, 收集马拉松, 卡通风格, 欢乐, 玩家对战环境, 冒险, 独立, 单人",冒险类; 休闲类
Monster Train,¥ 88.00,95%,"19,809",23.8h,"卡牌战斗, 轻度 Rogue, 卡牌游戏, 牌组构建, 回合制战术, 类 Rogue, 回合战略, 困难, 玩家对战, 策略, 牌组构建式类 Rogue, 回合制战斗, 角色扮演, 选择取向, 程序生成, 彩色, 奇幻, 恶魔, 魔法, 火车",角色扮演类; 策略类
Oceans We Make,¥ 6.00,40%,10,1.0h,"冒险, 独立, 模拟, 虚拟现实",冒险类; 模拟类
未获取到,未获取到价格,,,3.7h,,
The Legend of Viccess,¥ 6.00,无用户评测,,2.3h,"角色扮演, 独立, 冒险, RPG 制作大师",冒险类; 角色扮演类
RANK RUNNER,¥ 6.00,70%,10,0.8h,"弹幕射击, 奔跑, 清版射击, 休闲, 竞技, 困难, 街机, 试验性, 2D, 赛博朋克, 动作, 抽象, 极简主义, 竞分, 复古, 单人, 欲罢不能, 快节奏, 好评原声音轨, 独立",动作类; 休闲类
未获取到,未获取到价格,,,10.4h,,
Neckbeardia,¥ 6.00,100%,14,6.4h,"角色扮演, RPG 制作大师",角色扮演类
Dr. Derk's Mutant Battlegrounds,¥ 22.00,73%,19,10.3h,"抢先体验, 人工智能, 自走棋, 策略, 多人在线战术竞技, 独立, 玩家对战, 管理, 动作, 大型多人在线, 多人, 异步多人, 单人, 极简主义, 风格化, 俯视, 西部, 恐龙, 欢乐, 卡通风格",动作类; 策略类
LOST:SMILE memories,¥ 126.00,97%,45,15.3h,"模拟, 色情内容, 裸露, 视觉小说, 冒险, 可爱, 动漫",冒险类; 模拟类
The Tree,¥ 32.00,30%,10,8.0h,"棋盘游戏, 桌上游戏, 卡牌游戏, 自然, 管理, 彩色, 资源管理, 休闲, 2D, 独立, 多人, 单人, 玩家对战",策略类; 休闲类
A Glider's Journey,¥ 42.00,76%,26,1.5h,"休闲, 动作, 独立, 冒险, 模拟, 飞行, 物理, 困难, 氛围, 单人, 竞速, 放松, 好评原声音轨, 街机, 探索",动作类; 冒险类; 模拟类; 竞速类; 休闲类
Come Back: Chapter 1,¥ 22.00,3 篇用户评测,3,1.1h,"冒险, 独立, 指向点击",冒险类; 解谜类
Traffix,¥ 22.00,64%,54,2.5h,"独立, 模拟, 解谜, 极简主义",模拟类; 解谜类
Ash Asylum,¥ 6.00,40%,22,1.4h,"独立, 血腥, 暴力, 恐怖, 心理恐怖, 生存恐怖, 第一人称射击",射击类; 冒险类
Alpha Dog,¥ 11.00,8 篇用户评测,8,0.8h,"动作, 独立, 休闲",动作类; 休闲类
霓虹城骑士,¥ 70.00,79%,43,2.7h,"独立, 动作, 冒险, 角色扮演, 未来, 单人, 好评原声音轨, 像素图形, 困难, 格斗, 经典, 复古, 赛博朋克",动作类; 冒险类; 角色扮演类
THE UNCLEARNESS,¥ 15.00,54%,11,1.9h,"动作, 冒险, 独立, 角色扮演, 模拟, 暴力, 裸露",动作类; 冒险类; 角色扮演类; 模拟类
"""Going Up?""",免费开玩,66%,12,79.7h,"角色扮演, 休闲, 独立, 策略",角色扮演类; 策略类; 休闲类
Zorg The Typing Warrior,¥ 6.00,78%,19,1.0h,"打字, 策略, 动作, 休闲, 独立, 街机, 角色动作, 清版动作, 清版射击, 2.5D, 2D, 卡通, 漫画, 像素图形, 基于文字, 砍杀, 单人, 冒险, 城市营造, 竞速",动作类; 冒险类; 策略类; 竞速类; 休闲类
Desert Of The Dead,¥ 3.00,69%,393,1.4h,"射击, 动作, 像素图形, 单人, 弹幕射击, 黑暗奇幻, 轻度 Rogue, 2D, 复古, 独立, 程序生成, 欢乐, 清版射击, 动作类 Rogue, 角色扮演, 手绘, 控制器, 俯视, 休闲, 砍杀",动作类; 射击类; 角色扮演类; 休闲类
Kawaii Deathu Desu,¥ 18.00,70%,221,5.0h,"清版动作, 砍杀, 休闲, 玩家对战环境, 节奏, 玩家对战, 竞技, 困难, 格斗, 街机, 角色自定义, 2D, 可爱, 欢乐, 动漫, 动作, 恶魔, 奇幻, 竞分, 战斗",动作类; 休闲类
未获取到,未获取到价格,,,16.8h,,
Square Norm,¥ 6.00,1 篇用户评测,1,5.8h,"精确平台, 横向滚屏, 2D 平台, 隐藏物体, 困难, 平台游戏, 动作冒险, 角色自定义, 子弹时间, 控制器, 线性, 2D, 动作, 休闲, 极简主义, 像素图形, 彩色, 阖家, 抽象, 喜剧",动作类; 冒险类; 解谜类; 休闲类
Mogh,免费开玩,6 篇用户评测,6,8.1h,独立,
英雄群侠传,¥ 18.00,91%,551,13.2h,"角色扮演, 冒险, 策略, 独立, 复古, RPG 制作大师, 回合战略, 2D 平台, 回合制战术, 2D, 像素图形, 卡通风格, 可爱, 彩色, 风格化, 外国, 80 年代, 90 年代, 剧情, 剧情丰富",冒险类; 角色扮演类; 策略类
Qwerty's Prison,¥ 15.00,,,0.7h,"动作, 独立, 休闲, 冒险",动作类; 冒险类; 休闲类
混沌扳机(ChaosTrigger),¥ 15.00,1 篇用户评测,1,1.3h,"动作, 动作类 Rogue, 像素图形, 2D, 单人, 俯视, 复古, 生存, 战争, 超级英雄, 战斗, 枪械改装, 射击, 俯视射击, 冒险, 双摇杆射击, 弹幕射击, 独立",动作类; 射击类; 冒险类
Bepuzzled Space Jigsaw Puzzle,¥ 18.00,无用户评测,,1.2h,"休闲, 解谜, 太空",解谜类; 休闲类
Bepuzzled Jigsaw Puzzle: Animals 103 Puzzles,¥ 18.00,1 篇用户评测,1,2.5h,"休闲, 解谜, 可爱",解谜类; 休闲类
Run Thief,¥ 513.00,1 篇用户评测,1,1.2h,"独立, 休闲, 冒险, 抢先体验, 奔跑, 奇幻",冒险类; 休闲类
Bepuzzled Jigsaw Puzzle: Nature,¥ 18.00,1 篇用户评测,1,3.2h,"休闲, 解谜",解谜类; 休闲类
1000 days to escape,¥ 11.00,84%,361,3.0h,"休闲, 独立, 太空, 街机, 模拟, 太空模拟, 外星人, 2D, 单人, 欢乐, 科幻, 唯美, 科学, 火星",动作类; 模拟类; 休闲类
Dune Sea,¥ 37.00,6 篇用户评测,6,1.7h,"氛围, 飞行, 冒险, 独立, 自然, 探索, 横向滚屏, 彩色, 放松, 抽象, 单人, 短篇, 2.5D, 动作, 唯美, 好评原声音轨",动作类; 冒险类
Trials of Guinevere,¥ 35.00,88%,26,5.4h,"角色扮演, 剧情丰富, 回合制战斗, 团队角色扮演, 选择取向, 视觉小说, 奇幻, 情感, 剧情, 策略, 多结局, 电脑角色扮演, 日系角色扮演, 冒险, 回合战略, 策略角色扮演, 魔法, 单人, 2D, RPG 制作大师",冒险类; 角色扮演类; 策略类
Beat Boxing,¥ 28.00,4 篇用户评测,4,1.0h,"休闲, 体育, 动作, 抢先体验",动作类; 体育类; 休闲类
We Become What We Behold [Fan-Made Port],免费,95%,"6,470",0.6h,"免费开玩, 暴力, 独立, 血腥, 休闲, 指向点击, 短篇, 心理恐怖, 欢乐, 2D, 单人, 教育, 可爱, 恐怖",冒险类; 解谜类; 休闲类
FORT,¥ 15.00,3 篇用户评测,3,5.0h,"独立, 模拟, 冒险",冒险类; 模拟类
Mind Trap,免费开玩,8 篇用户评测,8,15.7h,"冒险, 独立, 抢先体验",冒险类
Escape from Classroom,¥ 18.00,3 篇用户评测,3,1.1h,"独立, 休闲, 解谜",解谜类; 休闲类
Sea Bubble,¥ 22.00,100%,57,0.2h,"独立, 休闲, 体育, 街机, 本地多人, 水底, 潜水艇, 控制器, 快节奏, 横向滚屏, 竞技, 欢乐, 短篇, 2.5D, 阖家, 美式橄榄球",动作类; 体育类; 休闲类
Snow Arena,免费开玩,63%,41,7.8h,"独立, 休闲, 策略",策略类; 休闲类
YUT YUT,免费开玩,9 篇用户评测,9,15.1h,"动作, 独立, 策略",动作类; 策略类
Card story,¥ 50.00,,,0.1h,"休闲, 抢先体验, 独立, 策略, 冒险",冒险类; 策略类; 休闲类
Codemancer,免费开玩,66%,12,15.1h,"独立, 休闲, 冒险, 编程",冒险类; 休闲类
ThreeStep,¥ 18.00,1 篇用户评测,1,2.3h,"冒险, 独立, 模拟, 剧情丰富, 女性主角, 狩猎, 好评原声音轨",冒险类; 模拟类
未获取到,未获取到价格,,,10.6h,,
The Tower Of TigerQiuQiu,免费,63%,22,9.5h,"动作, 独立, 休闲, 老式, 复古, 清版射击, 弹幕射击, 射击, 80 年代, 坦克",动作类; 射击类; 休闲类
异世江湖录(JiangHu Record  Of Another World),¥ 68.00,35%,34,1.1h,"动作, 冒险, 独立, 模拟, 角色扮演, 生存",动作类; 冒险类; 角色扮演类; 模拟类
Break my body,¥ 22.00,1 篇用户评测,1,0.9h,"独立, 休闲, 动作, 街机, 2D, 物理, 欢乐, 单人, 卡通风格, 风格化, 彩色, 竞分, 阖家, 好评原声音轨",动作类; 休闲类
Cascadia Quest,¥ 0.00,,,,"冒险, 解谜, 指向点击, 像素图形, 基于文字, 喜剧, 黑色喜剧, 复古, 讽刺, 独立, 科学, 剧情丰富, 单人",冒险类; 解谜类
Foodie Bear,¥ 3.00,92%,25,3.5h,"蓄意操控困难, 动作, 困难, 冒险, 动作冒险, 平台游戏, 横向滚屏, 角色扮演, 心理恐怖, 喜剧, 欢乐, 可爱, 休闲, 2D, 卡通, 手绘, 复古, 独立, 单人",动作类; 冒险类; 角色扮演类; 休闲类
Stupid Bat,¥ 6.00,2 篇用户评测,2,1.1h,"独立, 休闲",休闲类
Airglow,¥ 0.00,,,,"独立, 冒险",冒险类
Princess Castle Quest,FREE,97%,43,15.9h,"解谜, 探索, 推箱子, 女性主角, 2D, 阖家, 欢乐, 分屏, 狗, 放松, 彩色, 可爱, 休闲, 收集马拉松, 隐藏物体, 困难, 俯视, 像素图形, 线性, 奇幻",冒险类; 解谜类; 休闲类
龍鳳客棧,¥ 0.00,,,,"休闲, 生活模拟, 模拟, 文字游戏, 卡牌游戏, 指向点击, 基于文字, 库存管理, 独立, 抢先体验, 资源管理, 单人",冒险类; 模拟类; 策略类; 解谜类; 休闲类
Sailor Simulator,¥ 0.00,,,,"冒险, 模拟, 开放世界, 第一人称, 生存, 航海, 独立, 休闲, 氛围, 体育, 放松, 海军, 单人, 拟真, 历史, 军事, 海盗, 探索, 动作冒险, 中世纪",冒险类; 模拟类; 体育类; 休闲类
蹩脚的炼金术师(Incompetent Alchemist),¥ 11.00,6 篇用户评测,6,1.4h,"独立, 休闲, 模拟, 策略",模拟类; 策略类; 休闲类
Bepuzzled Jigsaw Puzzle: Japan,¥ 18.00,,,1.6h,,
Event Horizon - Frontier,¥ 22.00,53%,47,25.5h,"动作, 独立, 太空",动作类
青岚血枫,¥ 10.00,5 篇用户评测,5,7.5h,策略,策略类
Escape Game Cake,¥ 15.00,9 篇用户评测,9,3.3h,"探索, 收集马拉松, 隐藏物体, 解谜, 指向点击, 可爱, 剧情丰富, 氛围, 冒险, 单人, 独立, 密室逃脱, 休闲",冒险类; 解谜类; 休闲类
Jurassic Snap,¥ 0.00,,,,"恐龙, 放松, 可爱, 探索, 照片编辑, 冒险, 记叙, 第一人称, 虚拟现实, 自然, 单人, 动作冒险, 太空, 科学, 3D, 教育, 剧情丰富, 程序生成, 独立, 阖家",冒险类
Commando Dog,¥ 6.00,3 篇用户评测,3,2.6h,"独立, 动作, 射击, 暴力, 血腥, 氛围, 生存, 僵尸, 单人, 街机, 清版射击, 双摇杆射击, 黑暗, 老式, 困难, 平台游戏, 第一人称射击, 3D, 俯视, 复古",动作类; 射击类
Interregnum-Alpha,¥ 11.00,无用户评测,,9.2h,"动作, 独立, 暴力, 冒险, 休闲, 中世纪, 复古, 动作冒险, 动作角色扮演, 格斗, 砍杀, 第三人称射击, 3D, 卡通风格, 第三人称, 剑术, 心理恐怖, 单人, 第一人称",动作类; 射击类; 冒险类; 角色扮演类; 休闲类
Super Arcade Racing,¥ 84.99,92%,83,2.1h,"竞速, 多人, 街机, 复古, 本地多人, 像素图形, 动作冒险, 体育, 休闲, 2D, 老式, 俯视, 驾驶, 单人, 玩家对战, 控制器, 剧情丰富, 女性主角, 角色自定义, 4 人本地",动作类; 冒险类; 体育类; 竞速类; 休闲类
Shing!,¥ 76.00,79%,327,4.3h,"清版动作, 横向滚屏, 动作类 Rogue, 砍杀, 华丽格斗, 2D 格斗, 角色动作, 玩家对战环境, 格斗, 街机, 2.5D, 剑术, 卡通风格, 动作, 彩色, 动漫, 奇幻, 恶魔, 忍者, 竞分",动作类
Top Speed 2: Racing Legends,免费开玩,60%,177,2.5h,"竞速, 免费开玩, 模拟, 体育, 汽车模拟, 抢先体验, 驾驶, 多人",模拟类; 体育类; 竞速类
Dave-Man,¥ 26.00,4 篇用户评测,4,1.9h,"复古, 像素图形, 谐仿, 街机, 极简主义, 欢乐, 80 年代, 讽刺, 生活模拟, 2D, 黑色喜剧, 动作, 喜剧, 黑色幽默, 可爱, 网格导向动作, 单人, 独立, 重玩价值, 好评原声音轨",动作类
未获取到,未获取到价格,,,15.9h,,
World War Zero,¥ 22.00,82%,170,3.6h,"动作, 暴力, 血腥, 架空历史, 第一人称, 单人, 未来, 第一人称射击, 经典, 一战",动作类; 射击类
伊尔多之围攻,¥ 0.00,,,,"模拟, 城市营造, 即时战略, 策略, 殖民模拟, 独立, 中世纪, 生存, 建造, 塔防, 管理, 基地建设, 像素图形, 彩色, 黑暗奇幻, 单人, 魔法, 战术, 风格化, 奇幻",射击类; 模拟类; 策略类
The Wizards - Dark Times: Brotherhood,¥ 108.00,72%,429,3.3h,"动作, 冒险, 虚拟现实, 魔法, 奇幻, 剧情丰富, 探索, 第一人称, 动作冒险, 氛围",动作类; 冒险类
Space Dance,¥ 6.00,2 篇用户评测,2,0.9h,"动作, 抢先体验, 休闲, 双摇杆射击, 街机, 老式, 复古",动作类; 休闲类
Bullet Roulette VR,¥ 32.00,86%,438,2.0h,"休闲, 独立, 动作, 虚拟现实, 大型多人在线, 射击, 欢乐, 多人, 单人, 卡牌游戏, 3D, 犯罪, 赌博, 氛围, 玩家对战, 抢先体验, 暴力",动作类; 射击类; 策略类; 休闲类
Opening Up,¥ 22.00,60%,10,1.6h,"冒险, 恐怖, 心理恐怖, 第一人称, 步行模拟",冒险类
Clickable Coffee Shop,免费开玩,49%,55,13.8h,"休闲, 模拟, 点击游戏, 放松, 2D, 老式, 建造, 极简主义, 欢乐, 单人, 卡通风格, 短篇, 彩色, 卡通, 经济, 资源管理, 仅鼠标, 基于文字, 独立, 角色扮演",角色扮演类; 模拟类; 休闲类
Shrine of the God-Ape,¥ 11.00,97%,35,1.3h,"动作, 独立, 冒险, 平台游戏, 像素图形",动作类; 冒险类
The Missing Few,¥ 37.00,5 篇用户评测,5,0.9h,"冒险, 休闲, 独立, 解谜, 潜行, 指向点击, 恐怖, 调查, 3D, 第一人称, 拟真, 放松, 多结局, 剧情丰富, 单人, 裸露",动作类; 冒险类; 解谜类; 休闲类
New Zealand Virtual Debating Chamber,免费,100%,28,8.3h,"模拟, 免费开玩, 虚拟现实, 心理恐怖",模拟类
Six Temples,¥ 50.00,无用户评测,,60.0h,"动作, 抢先体验, 玩家对战, 奇幻, 多人, 砍杀, 战斗, 中世纪",动作类
未获取到,未获取到价格,,,8.2h,,
Save the Biros VR,¥ 11.00,,,7.0h,"独立, 虚拟现实",
Departure Dash,¥ 11.00,,,2.2h,"休闲, 模拟, 独立",模拟类; 休闲类
Vermin Hunter,¥ 15.00,2 篇用户评测,2,1.0h,"动作, 独立, 休闲, 模拟, 冒险, 第三人称射击, 狩猎, 射击",动作类; 射击类; 冒险类; 模拟类; 休闲类
Deep Diving VR,¥ 70.00,38%,21,3.5h,"独立, 休闲, 模拟, 虚拟现实",模拟类; 休闲类
Cosmo Chaser,¥ 22.00,无用户评测,,1.3h,"独立, 清版射击, 弹幕射击, 复古, 科幻, 太空, 街机, 射击, 赛博朋克, 单人, 动作, 俯视射击, 2.5D, 俯视, 控制器",动作类; 射击类
Ashi,¥ 22.00,5 篇用户评测,5,7.3h,"独立, 2D 平台, 平台解谜, 平台游戏, 冒险, 2D, 可爱, 单人, 阖家, 像素图形, 神话",动作类; 冒险类
Ridiculous Catapult Simulator,¥ 0.00,,,,"即时战术, 牌组构建, 物理, 破坏, 塔防, 模拟, 生存, 卡牌游戏, 即时战略, 欢乐, 彩色, 动作即时战略, 点击游戏, 卡通风格, 风格化, 网络梗, 单人, 卡牌战斗, 重玩价值, 动作",动作类; 模拟类; 策略类; 休闲类
Voxel Fly,¥ 0.00,,,,"动作, 独立, 休闲, 模拟, 竞速",动作类; 模拟类; 竞速类; 休闲类
Kyle Simulator,¥ 6.00,82%,102,7.8h,"模拟, 心理恐怖, 沙盒, 破坏, 网络梗, 动作, 休闲, 竞速, 探索, 第三人称, 拟真, 建造, 驾驶, 欢乐, 开放世界, 物理, 单人, 暴力, 色情内容, 竞技",动作类; 冒险类; 模拟类; 竞速类; 休闲类
The Last Escape of Yeti,¥ 6.00,6 篇用户评测,6,0.7h,"独立, 冒险",冒险类
Poly Mole,¥ 6.00,5 篇用户评测,5,3.8h,"策略, 独立, 解谜",策略类; 解谜类
The Treasure of the Dragon,免费开玩,66%,12,10.7h,"免费开玩, 策略, 休闲, 独立, 大型多人在线",策略类; 休闲类
The Slormancer,¥ 76.00,81%,"6,800",23.3h,"刷宝, 砍杀, 动作角色扮演, 迷宫探索, 像素图形, 角色扮演, 2D, 动作冒险, 俯视, 独立, 等角视角, 动作, 职业导向, 奇幻, 单人, 冒险, 战斗, 抢先体验, 控制器, 原声音轨",动作类; 冒险类; 角色扮演类
未获取到,未获取到价格,,,5.1h,,
Founders' Fortune,¥ 70.00,81%,"1,854",14.1h,"殖民模拟, 基地建设, 城市营造, 模拟, 建造, 策略, 生存, 沙盒, 独立, 管理, 资源管理, 角色自定义, 经济, 制作, 中世纪, 卡通风格, 程序生成, 彩色, 单人, 阖家",模拟类; 策略类
The Room VR: A Dark Matter,¥ 92.00,97%,"3,791",3.2h,"冒险, 解谜, 虚拟现实, 悬疑, 调查, 单人, 氛围, 洛夫克拉夫特式, 密室逃脱, 恐怖, 独立, 多人, 指向点击",冒险类; 解谜类
我们的大学,¥ 0.00,,,,模拟,模拟类
Bombergrounds: Reborn,免费开玩,85%,"8,376",3.9h,"多人, 大逃杀, 欢乐, 阖家, 在线合作, 可爱, 街机, 大型多人在线, 休闲, 喜剧, 玩家对战, 动作, 免费开玩, 合作, 控制器, 角色自定义, 复古, 俯视, 彩色, 策略",动作类; 策略类; 休闲类
Gourmet Warriors,¥ 52.00,73%,23,3.4h,"动作, 清版动作, 像素图形, 复古",动作类
